	Treatment1	Treatment2	Treatment3	Treatment4	Treatment5	Treatment6	Treatment7	Treatment8	Treatment9	Treatment10	Treatment11	Treatment12	Treatment13	Treatment14	Treatment15	Treatment16	Treatment17	Treatment18	Treatment19	Treatment20	Treatment21	Treatment22	Treatment23	Treatment24	Treatment25	Treatment26	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	Control21	Control22	Control23	Control24	Control25	Control26	Control27	Control28
MH0015_GL0026987	6987018.673	27896747.63	9259357.987	2356544.698	5561525.314	10887552.66	12785243.72	2744784.982	4390102.573	4401985.687	4390102.573	4686179.921	4224087.676	4730337.523	4242576.137	4328654.21	4328654.21	4328654.21	4328654.21	4283162.54	4249679.065	4394489.764	4383596.289	4404911.656	4383596.289	4383596.289	-576583.793	-2002.441895	-3194785.607	-1403188.982	962372.3582	1306993.762	1412847.755	232076.9177	4418869.216	4390102.573	4390102.573	4390102.573	4530924.561	4074397.939	4153876.851	4480421.242	4343712.515	4363179.284	4364266.899	4353133.163	4459158.132	4314039.375	4218873.32	4172332.948	4383596.289	4391709.494	4383596.289	4383596.289
MH0066_GL0010765	22863512.96	13452116.07	17260413.69	19692445.34	20784412.27	22107445.87	12146835.99	21503712.16	13683379.23	17226207.35	19742516	15660723.79	13874292.28	13565304.13	17764500.28	21899918.88	13674507.28	17350007.15	17973888.22	17862027.72	16839223.89	13000647.23	9872056.556	14796643.07	13200475.08	11215271.15	25504812.45	18874226.94	15548565.06	19877204.33	25165964.81	17970973.35	12611093.26	22780917.79	17470986.14	12162130.81	16901703.09	19129707.15	20574535.4	21814130.73	21878628.26	21411289.03	23107148.85	16164440.93	16765435.3	19836621.35	32417077.47	19374797.46	24328046.56	19618249.27	24876355.92	20316790.77	23757277.26	16973963.51
O2.UC11-0_GL0008057	32799086.69	25991163.26	28909333.02	27431021.55	31351689.06	26527062.82	23699777.12	27891195.59	25942741.1	25235837.56	33045816.77	27206519.95	21303984.76	27598797.66	21980100.88	23251010.11	24995663.35	28789574.5	22536990.57	29322905.99	26135442.13	26322693.04	25978395.91	24101582.53	26059343.4	22368304.89	32477788.93	30751668.02	26573088.18	33295560.08	34182883.45	27428667.29	32797904.33	35488385.88	31485636.41	31866887.76	30648245.06	37219157.4	32245688.63	30052014.77	31136407.85	34400253.23	33445986.32	34271366.7	31762472.37	31839988.25	37731563.28	37083322.48	34858143.55	36985918.42	40870230	34136567.39	34719890	30105048.73
BGI001A_GL0017652	12088780.64	8021647.319	8032078.343	9497250.808	13535404.35	8467434.768	8409619.633	7375464.553	11135151.68	7127634.257	7492349.207	7710710.698	6817942.609	6604560.271	6928887.535	7792956.687	7669168.954	7355029.988	8904329.408	6635425.34	11015544.44	7397763.296	9075180.008	10261330.48	8950999.034	7544082.381	11279603.65	9883391.844	9183161.101	14847206.85	11826809.44	10231952.68	10910597.24	8741163.151	7676662.841	7720133.037	7273694.118	8530852.204	10464888.1	11398631.15	9477148.375	10391272.06	11398592.8	10367028.36	10379763.72	10203845.9	18385180.7	9485328.281	12569029.64	11487573.47	8827051.922	9624055.239	10161003.48	10577746.41
MH0104_GL0033445	2173731.533	18838293.65	6826155.58	2639186.474	4335417.994	8711848.184	5701884.54	-1945967.999	3814336.488	3771173.128	3794871.57	3985896.881	3734507.166	3734507.166	3734507.166	4558956.82	5997207.27	4328519.947	4346703.876	3598736.776	3876694.872	3820333.094	3812411.222	3788603.067	3788824.397	3810290.973	719684.3024	1882939.09	401347.1284	285599.749	1682568.681	462625.7894	-922526.9713	-152239.6652	3771173.128	3808685.451	3771173.128	3771173.128	3734507.166	3747539.06	3734507.166	3779545.438	3002922.904	3554436.539	3137964.091	3001047.804	3670248.241	3694053.333	3588025.669	3673072.252	3762488.543	3762488.543	3762488.543	3767701.136
MH0188_GL0141556	14839869.89	10856942.88	13264447.08	11612961.43	16687959.86	13029221.11	12654231.46	14897954.04	13249774.21	10961218.6	12635017.44	10289737.66	10486643.78	12220369.61	12161844.25	18925719.3	10623289.89	11443564.93	15809366.36	13347297.51	11452400.27	10036070.47	11551874.7	13640272.73	14316785.99	12990334.87	14509111.77	13212586.05	14692354.07	21791552.66	18949292.45	17056734.21	14046458.21	16272570.78	9867307.353	11254799.55	13133227.4	10901917.3	11595805.24	18664594.16	13764857.55	16023020.02	19278056.85	11917040.15	12015334.71	14393786.22	17141196.35	15153048.23	12889908.52	14412458.95	10735885.2	15121182.19	11704371.1	12153299.09
MH0010_GL0001485	6079573.654	5475006.664	5365035.154	5817078.845	8259412.885	6246313.648	5771442.027	7292404.961	6720753.451	5242027.597	6733664.564	5379406.421	4607773.303	4781526.657	4955212.898	5415285.179	5200048.445	5133039.19	5104727.014	4283539.154	5285779.471	3305336.65	6116997.888	4872776.724	5534386.013	5235946.053	6305411.292	4436264.05	4271214.683	7090869.442	6638574.685	5433574.025	5417051.909	5424848.863	5913001.975	4882533.808	5142773.419	7008832.649	5685639.157	6212603.751	5378153.661	6563287.1	5562514.43	5578118.689	5843446.766	5655843.117	7771961.07	6935361.224	7252366.435	6942709.027	5990963.482	6606629.663	5658755.813	5699895.346
MH0455_GL0061957	487312.3497	487312.3497	487312.3497	487312.3497	-108174.7565	-108174.7565	-108174.7565	-108174.7565	-1100038.233	16674360.24	18026868.07	329830.8043	8634779.323	8143033.432	329830.8043	1055375.396	1055375.396	4887420.801	1055375.396	-1582416.403	3535234.624	3100507.593	-486392.6701	4550515.844	-486392.6701	4013811.287	487312.3497	487312.3497	23290606.54	487312.3497	-108174.7565	-108174.7565	-108174.7565	-108174.7565	-1100038.233	-1100038.233	11853374.31	-1100038.233	329830.8043	329830.8043	8098786.787	329830.8043	1055375.396	1055375.396	5774909.328	1055375.396	7737738.275	-1582416.403	3663773.756	-1582416.403	-486392.6701	5304916.116	-486392.6701	4033285.664
MH0458_GL0084689	802310.0293	896268.7569	752559.5826	815776.0433	1136580.87	730605.1916	515325.812	576948.6165	145402.6904	2060497.878	145402.6904	705804.9906	567425.6276	289689.2083	289689.2083	1119320.59	532552.0299	407999.8874	407999.8874	625544.5869	625544.5869	750767.7378	-717270.4865	-703455.4239	-696128.7054	-642145.3963	669902.5265	601682.7217	640475.6184	868625.8466	1043605.767	515325.812	515325.812	840972.7754	238654.8182	145402.6904	145402.6904	645554.8646	1038459.155	1048641.472	958049.8471	551090.9966	1269882.106	668513.0632	710648.1715	630858.3851	711826.8544	625544.5869	703497.4438	815917.236	27039242.75	-624295.1828	-669407.3108	-640852.0247
MH0110_GL0025297	17062388.13	23622418.15	22181365.98	20795273.85	18988233.07	25108163.31	26279216.32	22839776.85	28035683	19618615.22	18920762.26	24174320.8	29585923.86	22097602.64	20643776.1	28241434.36	19973169.57	22650298.04	20661294.36	24521355.18	22095387	20995746.18	27304195.75	27284450.64	25765988.08	28046866.62	16090694.67	22767239.98	28232466.06	22442975.76	19687964.43	22587196.79	22987215.92	17977912.83	21291164	22962668.09	22627322.58	16533227.6	19791789.16	22822039.21	22106271.11	22388615.62	19451447.64	20845316.36	25159065.96	24696074.46	28228595	20401574.05	24031374.38	18914735.75	18539915.2	19808060.74	18723990.57	19830990.54
