Sample	Group
Treatment1	Treatment
Treatment2	Treatment
Treatment3	Treatment
Treatment4	Treatment
Treatment5	Treatment
Treatment6	Treatment
Treatment7	Treatment
Treatment8	Treatment
Treatment9	Treatment
Treatment10	Treatment
Treatment11	Treatment
Treatment12	Treatment
Treatment13	Treatment
Treatment14	Treatment
Treatment15	Treatment
Treatment16	Treatment
Treatment17	Treatment
Treatment18	Treatment
Treatment19	Treatment
Treatment20	Treatment
Treatment21	Treatment
Treatment22	Treatment
Treatment23	Treatment
Treatment24	Treatment
Treatment25	Treatment
Treatment26	Treatment
Control1	Control
Control2	Control
Control3	Control
Control4	Control
Control5	Control
Control6	Control
Control7	Control
Control8	Control
Control9	Control
Control10	Control
Control11	Control
Control12	Control
Control13	Control
Control14	Control
Control15	Control
Control16	Control
Control17	Control
Control18	Control
Control19	Control
Control20	Control
Control21	Control
Control22	Control
Control23	Control
Control24	Control
Control25	Control
Control26	Control
Control27	Control
Control28	Control
