Key	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Roseburia	152443240	927951100	2502381700	2161717400	5151475100	527893900	920537000	6649723400	7129968400	5594367500	122215600	13460932300	2395526900	5600705500	13591734300	10674789900	10573870400	6368975000	819475050	677046100	2484222300	351651400	567605900	1821292100
Faecalibacterium	4143100	1587732110	47571100	578320550	1832691700	2457727000	1529610700	2570297600	5263788790	7914533400	49959590	15619184700	3522772100	6130704700	5981283800	9687454200	9707409500	3115169700	3429417100	2891201700	523778600	404560100	1823037100	1181231800
Bacteroides	29004580	1951379600	217535400	835468800	5040465400	1494088600	917452400	2902166000	2548001180	5299294200	37071650	6875900000	3766245300	3097361800	6982803300	11026150600	10657625700	1205608100	754510850	1028744900	500257000	470730100	5993291900	321093100
Eubacterium	8988100	225683700	79973600	495698090	1118975600	2688451300	153313600	467573600	459211800	616999900	15972700	1256621500	429812000	490951400	1263276200	5448997500	5134048000	659916300	2594558370	1154735300	760072900	208653900	197883400	452203000
Prevotella	2820500	56252400	0	61390400	44956000	0	0	146738700	68450800	170180600	6644000	178293500	114724600	78895100	284009500	327113400	267179600	63961900	5736427390	1848827500	0	0	97609400	7574342080
Bifidobacterium	11079410	275802000	37225200	3529262300	4122812100	925613300	151857300	28266100	9233900	141178700	0	25298000	0	108939800	199097500	15437000	0	28824000	0	0	5870753400	35509400	316264640	0
Blautia	18228180	339088100	90937000	366660200	204941200	679996900	32628900	1312122600	755142600	1041536100	25632870	2056107200	481982600	989457000	737277100	254441200	431744500	271987300	265042900	336692100	834422200	89107100	57351500	210673300
Clostridium	11665200	407340700	18716900	132383200	855795100	687596800	29720100	320317400	214357800	729435300	15617600	1107059100	276003000	414532500	652125600	1583672600	630663800	183948600	736615800	353441900	330180800	87476900	278715700	440008400
Ruminococcus	8706100	104575500	5177700	98010000	82396700	112426300	0	187244800	139337200	222209500	6932290	337003600	317304000	167607100	333100100	432206300	427647500	69027400	249794800	214779600	54190000	6846700	86373800	750951100
Subdoligranulum	0	50849400	0	45467400	0	86272700	27622600	75759500	185462700	675920200	2773400	649256000	75685900	135971200	183558100	264687000	190616000	11343300	44876000	19964200	0	0	31799000	17510000
Porphyromonas	913700	50102000	13518000	39163000	7628900	0	4517300	160300000	9225200	126568000	1940200	222138000	147760000	56826000	366959000	371407000	319441000	70779000	55106000	92407000	44510000	33208000	218220000	10902000
Streptococcus	0	23498000	0	50669000	231850000	205360000	52988000	12486000	40620000	59901000	0	320060000	126020000	94455000	292310000	119190000	147920000	314550000	49318000	51809000	65371000	0	85111000	4296400
Dialister	0	81628800	0	16209800	38415200	144871700	60458900	44897700	10610400	111539600	3829600	313827000	102795600	157960000	125957100	176968000	254766500	42683400	84495800	34162400	10643000	3920800	30232900	9612100
Alistipes	0	22401500	0	2970800	0	0	38421000	83252300	63234000	152930400	0	176820200	49208900	5144400	144059000	197613800	233464300	0	17844500	27415000	188393000	0	53466200	67216000
Coprococcus	0	14975300	23583000	135488200	28454900	66131700	16530000	8833000	12149900	21278200	0	173926700	116744100	170674300	55201600	138627800	108444200	26840400	9592900	60643400	111600000	71262000	40509000	73387900
Dorea	0	92200900	0	44121900	634881900	176365300	0	0	8086800	29290800	0	90520000	13244300	29694300	83742800	20831500	65153700	22495000	6837300	23789200	6950500	0	45416400	25510800
Butyricicoccus	0	22414600	3821100	64576500	0	18909300	0	32792300	10300300	82518100	0	369895800	29453500	5463900	203841800	154478500	127980600	66003700	7647800	23111700	0	0	0	8720800
Succinatimonas	2647500	33495600	23051800	55464900	79136000	104847000	32766000	55346000	65523800	73502000	4433900	165429000	50771000	122381000	78955000	75544600	78649000	30810000	5184700	77881000	36019000	21996400	41146000	20258000
Parabacteroides	0	22206800	0	14655000	92119700	143277000	7701400	23047700	33053000	44073900	0	66723100	61907200	104017100	100021300	90974200	67461200	0	0	0	29183000	1595600	7530600	0
Butyrivibrio	0	44514000	0	0	0	0	159290000	13267000	9662100	3383200	0	65996400	0	84720200	51406300	188757300	95635700	24477000	36606000	22729000	0	0	0	68577300
Paraprevotella	0	5852700	2517600	6314400	0	0	0	18936000	42625000	48389000	0	79112000	52168000	40590000	106291900	89116000	96252100	32007000	0	12571000	12125000	5182800	85398100	0
Fusicatenibacter	2238600	68996000	12605900	45250100	108456100	154069600	24294800	13145000	6797100	15477000	0	70410000	0	0	30677490	13378000	24551000	15796000	45180700	20789100	21013000	3218800	14627000	4294400
Phascolarctobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116232000	6672400	0	0	0	586948700
Lactobacillus	0	7177400	0	156280000	0	35505800	0	10837000	0	25930400	0	47568000	100314800	16145000	28215000	64193000	54454000	34900000	11635000	0	0	0	0	0
Hungatella	0	10779000	0	15359000	43113000	37538000	11943000	28885000	13840000	20353000	0	71600000	17403000	35375000	46464000	28350000	35012400	37027400	0	17449000	28498000	0	19042000	15050000
Treponema	0	14186000	0	14667000	0	0	0	20592000	7697500	28045000	0	64311400	25389000	28186000	36658000	43201000	42840000	21561000	14112000	39463000	37297000	0	0	24406000
Streptomyces	0	4767100	0	0	0	0	0	39651000	8303700	21909000	0	55159000	30427000	14839000	61637000	63006000	62212000	0	0	0	0	0	0	5479500
Anaerostipes	0	0	4735700	0	0	34268800	0	7964800	0	0	0	0	0	0	20900800	112834000	82268000	11258000	12200000	36592000	0	0	7405000	44015100
