Starch	MH0015_GL0026987	MH0066_GL0010765	O2.UC11-0_GL0008057	BGI001A_GL0017652	MH0104_GL0033445	MH0188_GL0141556
1	6987018.673	22863512.96	32799086.69	12088780.64	2173731.533	14839869.89
2	27896747.63	13452116.07	25991163.26	8021647.319	18838293.65	10856942.88
3	9259357.987	17260413.69	28909333.02	8032078.343	6826155.58	13264447.08
4	2356544.698	19692445.34	27431021.55	9497250.808	2639186.474	11612961.43
5	5561525.314	20784412.27	31351689.06	13535404.35	4335417.994	16687959.86
6	10887552.66	22107445.87	26527062.82	8467434.768	8711848.184	13029221.11
7	12785243.72	12146835.99	23699777.12	8409619.633	5701884.54	12654231.46
8	2744784.982	21503712.16	27891195.59	7375464.553	-1945967.999	14897954.04
9	4390102.573	13683379.23	25942741.1	11135151.68	3814336.488	13249774.21
10	4401985.687	17226207.35	25235837.56	7127634.257	3771173.128	10961218.6
11	4390102.573	19742516	33045816.77	7492349.207	3794871.57	12635017.44
12	4686179.921	15660723.79	27206519.95	7710710.698	3985896.881	10289737.66
13	4224087.676	13874292.28	21303984.76	6817942.609	3734507.166	10486643.78
