	HM406CO	HM406TI	HM422CO1	HM422TI1
1000570.HMPREF9966_0914	143450000	0	0	0
NLM027_GL0001607	0	0	0	0
T2D-51A_GL0038697	0	0	0	0
DLM016_GL0019203	0	0	0	0
DLM016_GL0080622	0	0	0	0
HM481PCN_combine_revised_C870305_1_gene26536	0	0	0	0
V1.CD3-3-PN_GL0069182	0	0	0	0
1006551.KOX_07995	0	0	0	0
NLM027_GL0059603	0	0	24308000	0
NLM027_GL0013477	0	0	0	0
T2D-132A_GL0001451	0	0	0	0
ED19A_GL0004154	0	0	0	0
MH0204_GL0044515	0	7576600	4627700	0
V1.FI24_GL0141252	0	0	0	0
O2.UC38-0_GL0037065	0	0	0	0
T2D-132A_GL0083231	0	0	0	0
SZEY-40A_GL0066311	0	0	0	0
1006551.KOX_16265	0	45638000	1402100	7586100
1006551.KOX_16960	0	0	0	0
1006551.KOX_17300	0	0	13354000	0
1006551.KOX_17605	0	577880	0	892140
NLM027_GL0027997	0	0	0	0
MH0415_GL0131110	0	8890200	0	10385000
1006551.KOX_23015	0	0	0	0
MH0260_GL0093553	0	0	0	0
MH0179_GL0010115	0	0	0	0
1006551.KOX_25220	0	0	0	0
290338.CKO_00681	0	0	0	0
MH0260_GL0030453	0	0	0	0
SZEY-40A_GL0070746	0	0	0	0
MH0425_GL0144517	0	0	0	0
O2.UC38-0_GL0029569	0	2080600	3165200	1108500
V1.UC21-4_GL0105178	0	0	5086000	0
V1.UC21-4_GL0039870	0	0	0	0
1028307.EAE_02965	0	0	0	0
V1.CD7-0-PN_GL0023030	0	0	0	0
MH0277_GL0012695	0	0	0	0
T2D-132A_GL0094591	0	0	0	0
1028307.EAE_11380	0	0	12386000	0
MH0277_GL0027287	0	0	0	0
DLM028_GL0013213	0	0	0	0
1028307.EAE_16995	0	0	0	0
DOM005_GL0002759	0	0	0	0
T2D-46A_GL0012112	0	0	0	5539900
1033813.ECNA114_1639	0	0	0	0
1033813.ECNA114_2195	0	0	0	0
1033813.ECNA114_2700	0	0	0	0
1033813.ECNA114_2833	0	0	0	0
1033813.ECNA114_3664	0	0	0	0
1033813.ECNA114_3877	0	1890200	1509200	1257100
1033813.ECNA114_3885	0	0	0	0
585054.EFER_3854	0	0	9333100	0
1033813.ECNA114_4071	0	0	0	0
O2.UC11-2_GL0049068	0	0	0	0
1035817.BLNIAS_01965	0	0	0	0
V1.CD40-0_GL0167256	0	0	0	0
1042403.BALAC2494_00726	0	1475900	2354800	0
V1.CD7-0-PN_GL0038362	0	0	0	0
1042803.HUSEC41_11882	0	4183000	0	0
T2D-132A_GL0061766	0	0	0	0
V1.UC21-4_GL0082547	0	0	0	0
V1.CD10-0_GL0024147	0	0	0	0
T2D-132A_GL0012841	0	0	0	0
1045856.EcWSU1_00340	0	0	0	0
DLM016_GL0038610	0	0	0	0
1045856.EcWSU1_00438	8954000	30080000	0	0
T2D-132A_GL0031851	0	0	0	0
V1.UC39-4_GL0100625	8474900	0	0	0
MH0179_GL0061544	0	0	0	0
MH0008_GL0029666	6820700	3661500	19927000	0
MH0179_GL0030127	0	0	0	0
T2D-51A_GL0075926	0	0	0	0
V1.UC21-4_GL0035705	0	0	0	0
T2D-132A_GL0039780	0	0	0	0
1045856.EcWSU1_01600	0	0	0	0
V1.UC21-4_GL0051000	0	0	0	0
1045856.EcWSU1_01757	0	0	0	0
T2D-132A_GL0077934	0	0	0	0
T2D-132A_GL0061251	0	0	8075400	0
V1.UC21-4_GL0108720	45492000	0	0	0
1045856.EcWSU1_02748	0	0	26282000	0
V1.CD3-0-PT_GL0059364	0	0	0	0
MH0425_GL0165547	0	0	0	0
MH0425_GL0162525	0	0	0	0
V1.UC21-4_GL0085674	0	0	0	0
T2D-132A_GL0026244	0	0	0	0
SZEY-40A_GL0030374	0	0	0	0
DLM016_GL0078103	0	0	0	0
SZEY-40A_GL0034006	0	0	0	0
MH0425_GL0105904	0	0	0	0
DOF008_GL0031817	0	0	0	0
