""	"sample_name"	"group"	"COG_1"	"COG_2"	"COG_3"	"COG_4"	"COG_5"	"COG_6"	"COG_7"	"COG_8"	"COG_9"	"COG_10"	"COG_11"	"COG_12"	"COG_13"	"COG_14"	"COG_15"	"COG_16"	"COG_17"	"COG_18"	"COG_19"	"COG_20"
"1"	"sample_1"	"Exp_A"	"1.056"	"2.006"	"5.148"	"1.054"	"0.629"	"5.609"	"0.2"	"2.336"	"6.3"	"3.05"	"0.105"	"0.63"	"2.294"	"3.569"	"2.448"	"4.512"	"0.086"	"3.626"	"0.69"	"0.744"
"2"	"sample_2"	"Exp_C"	"3.792"	"3.094"	"8.019"	"2.618"	"0.561"	"6.461"	"0.704"	"0.544"	"3.06"	"4.453"	"0.051"	"1.17"	"0.496"	"1.29"	"0.714"	"3.807"	"0.072"	"6.512"	"0.138"	"0.324"
"3"	"sample_3"	"Exp_B"	"1.728"	"1.326"	"6.93"	"2.856"	"1.207"	"1.349"	"0.392"	"2.368"	"5.76"	"3.05"	"0.255"	"2.07"	"2.728"	"4.171"	"3.825"	"3.525"	"0.035"	"6.734"	"1.15"	"0.54"
"4"	"sample_4"	"Exp_A"	"2.832"	"1.258"	"6.831"	"1.054"	"0.187"	"0.994"	"0.2"	"2.944"	"0.81"	"3.782"	"0.102"	"0"	"2.325"	"2.193"	"4.947"	"3.008"	"0.056"	"0.518"	"0.529"	"0.6"
"5"	"sample_5"	"Exp_A"	"4.416"	"2.516"	"0.198"	"1.564"	"1.479"	"2.272"	"0.504"	"1.696"	"6.12"	"1.037"	"0.141"	"0.72"	"3.069"	"1.548"	"1.02"	"2.303"	"0.093"	"3.996"	"0.161"	"1.044"
"6"	"sample_6"	"Exp_A"	"1.968"	"3.162"	"1.683"	"1.938"	"1.292"	"1.917"	"0.336"	"3.072"	"5.04"	"3.843"	"0.069"	"0.3"	"1.705"	"3.44"	"1.632"	"1.833"	"0.024"	"4.81"	"1.081"	"1.164"
"7"	"sample_7"	"Exp_A"	"2.064"	"0.578"	"9.207"	"0.544"	"0.918"	"1.775"	"0.472"	"2.784"	"4.5"	"4.697"	"0.165"	"2.13"	"0.062"	"0.301"	"3.774"	"2.303"	"0.008"	"7.178"	"0.598"	"0.144"
"8"	"sample_8"	"Exp_C"	"2.4"	"2.244"	"7.128"	"0.136"	"0.102"	"1.917"	"0.264"	"1.728"	"5.58"	"3.477"	"0.288"	"0.06"	"2.728"	"1.333"	"0.51"	"3.055"	"0.009"	"6.142"	"1.817"	"0.864"
"9"	"sample_9"	"Exp_A"	"0.672"	"1.938"	"4.653"	"2.89"	"0.255"	"3.337"	"0.016"	"2.208"	"6.66"	"5.429"	"0.237"	"2.76"	"0.124"	"3.655"	"0.306"	"2.397"	"0.062"	"2.664"	"1.725"	"0.864"
"10"	"sample_10"	"Exp_C"	"0.528"	"0.85"	"3.564"	"0.17"	"0.476"	"1.278"	"0.504"	"0.064"	"4.59"	"1.22"	"0.084"	"1.65"	"2.604"	"3.483"	"0.153"	"3.196"	"0.081"	"3.922"	"0.621"	"1.008"
"11"	"sample_11"	"Exp_A"	"2.592"	"0.952"	"8.91"	"0.136"	"1.36"	"4.402"	"0.624"	"0.096"	"2.16"	"2.379"	"0.132"	"0.54"	"0.62"	"0.129"	"2.703"	"3.995"	"0.088"	"1.11"	"1.081"	"0.396"
"12"	"sample_12"	"Exp_A"	"3.072"	"2.584"	"1.089"	"1.972"	"1.122"	"3.905"	"0.728"	"2.176"	"7.47"	"0.122"	"0.195"	"1.74"	"2.604"	"1.634"	"3.723"	"2.021"	"0.056"	"3.478"	"1.656"	"0.552"
"13"	"sample_13"	"Exp_C"	"0.576"	"2.278"	"7.227"	"0.34"	"0.544"	"5.325"	"0.088"	"2.528"	"0.36"	"4.392"	"0.267"	"1.56"	"1.922"	"3.397"	"4.386"	"3.525"	"0.016"	"2.368"	"1.587"	"1.152"
"14"	"sample_14"	"Exp_A"	"2.832"	"2.176"	"3.069"	"2.244"	"1.071"	"0.497"	"0.744"	"1.984"	"3.15"	"1.098"	"0.216"	"2.58"	"0.899"	"3.096"	"2.856"	"0.893"	"0.017"	"1.184"	"0.092"	"0.048"
"15"	"sample_15"	"Exp_C"	"0.336"	"1.258"	"9.306"	"0.204"	"1.632"	"6.177"	"0.08"	"0.672"	"7.65"	"0.854"	"0.261"	"2.37"	"0.775"	"2.752"	"2.499"	"0.141"	"0.012"	"1.258"	"2.254"	"0.228"
"16"	"sample_16"	"Exp_B"	"1.344"	"0.884"	"5.643"	"0.952"	"1.564"	"3.763"	"0.016"	"1.28"	"7.29"	"3.416"	"0.105"	"1.62"	"0.496"	"2.752"	"2.55"	"4.23"	"0.071"	"4.514"	"1.472"	"0.252"
